wrong 	2.8secs 	What is 9 * -12? 	!= 	-88 	RunAve=runAve: 3/6 50% 	Sat Jan 09 2021 18:48:38 GMT-0600 (Central Standard Time)
correct 	20.5secs 	What is 9 * -12? 	== 	-108 	RunAve=runAve: 2/5 40% 	Sat Jan 09 2021 18:49:22 GMT-0600 (Central Standard Time)
correct 	4.2secs 	What is 11 * 1? 	== 	11 	RunAve=runAve: 2/4 50% 	Sat Jan 09 2021 18:49:45 GMT-0600 (Central Standard Time)
correct 	6.4secs 	What is 12 + 12? 	== 	24 	RunAve=runAve: 3/3 100% 	Sat Jan 09 2021 18:50:08 GMT-0600 (Central Standard Time)
correct 	5.4secs 	What is 7 * 4? 	== 	28 	RunAve=runAve: 2/2 100% 	Sat Jan 09 2021 18:50:27 GMT-0600 (Central Standard Time)
correct 	8.6secs 	What is 3 * 7? 	== 	21 	RunAve=runAve: 1/1 100% 	Sat Jan 09 2021 18:51:10 GMT-0600 (Central Standard Time)
correct 	5.6secs 	What is 0 * -12? 	== 	0 	RunAve=runAve: 18/25 72% 	Sat Jan 09 2021 18:51:27 GMT-0600 (Central Standard Time)
correct 	15.4secs 	What is -3 * 5? 	== 	-15 	RunAve=runAve: 18/25 72% 	Sat Jan 09 2021 18:51:57 GMT-0600 (Central Standard Time)
correct 	3.3secs 	What is 7 / 1? 	== 	7 	RunAve=runAve: 18/25 72% 	Sat Jan 09 2021 18:53:30 GMT-0600 (Central Standard Time)
correct 	2.1secs 	What is 1 * 9? 	== 	9 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 18:53:49 GMT-0600 (Central Standard Time)
correct 	13.3secs 	What is 11 * 12? 	== 	132 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 20:33:53 GMT-0600 (Central Standard Time)
correct 	19.0secs 	What is 50 / 5? 	== 	10 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 20:36:09 GMT-0600 (Central Standard Time)
correct 	6.6secs 	What is 12 * 5? 	== 	60 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 20:36:17 GMT-0600 (Central Standard Time)
wrong 	11.1secs 	What is 5 - 8? 	!= 	-4 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:36:42 GMT-0600 (Central Standard Time)
wrong 	37.3secs 	What is 5 - 6? 	!= 	-3 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:37:28 GMT-0600 (Central Standard Time)
wrong 	3.6secs 	What is 5 - 8? 	!= 	-5 	RunAve=runAve: 18/25 72% 	Sat Jan 09 2021 20:37:34 GMT-0600 (Central Standard Time)
wrong 	0.3secs 	What is 5 - 5? 	!= 	3 	RunAve=runAve: 17/25 68% 	Sat Jan 09 2021 20:38:11 GMT-0600 (Central Standard Time)
wrong 	8.0secs 	What is 5 - 6? 	!= 	1 	RunAve=runAve: 17/25 68% 	Sat Jan 09 2021 20:38:39 GMT-0600 (Central Standard Time)
wrong 	0.4secs 	What is 5 - 3? 	!= 	5 	RunAve=runAve: 16/25 64% 	Sat Jan 09 2021 20:38:51 GMT-0600 (Central Standard Time)
correct 	7.5secs 	What is 5 - 4? 	== 	1 	RunAve=runAve: 16/25 64% 	Sat Jan 09 2021 20:41:05 GMT-0600 (Central Standard Time)
correct 	2.4secs 	What is 5 - 5? 	== 	0 	RunAve=runAve: 16/25 64% 	Sat Jan 09 2021 20:41:20 GMT-0600 (Central Standard Time)
correct 	2.2secs 	What is 5 - 4? 	== 	1 	RunAve=runAve: 16/25 64% 	Sat Jan 09 2021 20:41:40 GMT-0600 (Central Standard Time)
correct 	1.1secs 	What is 5 - 5? 	== 	0 	RunAve=runAve: 16/25 64% 	Sat Jan 09 2021 20:41:59 GMT-0600 (Central Standard Time)
correct 	6.7secs 	What is 5 - 6? 	== 	-1 	RunAve=runAve: 17/25 68% 	Sat Jan 09 2021 20:42:25 GMT-0600 (Central Standard Time)
