wrong 	Fri Jan 08 2021 13:23:35 GMT-0600 (Central Standard Time) 	8061 	What is 0 - -11? 	!= 14
correct 	2.8secs 	What is 7 * 8? 	== 	56 	RunAve=runAve: 1/1 100% 	Sat Jan 09 2021 18:39:57 GMT-0600 (Central Standard Time)
correct 	1.4secs 	What is -6 * 0? 	== 	0 	RunAve=runAve: 2/2 100% 	Sat Jan 09 2021 18:40:16 GMT-0600 (Central Standard Time)
correct 	2.4secs 	What is 4 * 6? 	== 	24 	RunAve=runAve: 3/3 100% 	Sat Jan 09 2021 18:40:37 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is -8 * 10? 	== 	-80 	RunAve=runAve: 4/4 100% 	Sat Jan 09 2021 18:40:57 GMT-0600 (Central Standard Time)
correct 	2.6secs 	What is -12 * 6? 	== 	-72 	RunAve=runAve: 5/5 100% 	Sat Jan 09 2021 18:41:17 GMT-0600 (Central Standard Time)
correct 	1.5secs 	What is -11 * 7? 	== 	-77 	RunAve=runAve: 6/6 100% 	Sat Jan 09 2021 18:41:36 GMT-0600 (Central Standard Time)
correct 	4.6secs 	What is 99 / 9? 	== 	11 	RunAve=runAve: 7/7 100% 	Sat Jan 09 2021 18:41:59 GMT-0600 (Central Standard Time)
correct 	1.5secs 	What is 1 * 8? 	== 	8 	RunAve=runAve: 8/8 100% 	Sat Jan 09 2021 18:42:16 GMT-0600 (Central Standard Time)
correct 	3.3secs 	What is 6 + 1? 	== 	7 	RunAve=runAve: 9/9 100% 	Sat Jan 09 2021 18:42:38 GMT-0600 (Central Standard Time)
correct 	1.8secs 	What is 1 * 4? 	== 	4 	RunAve=runAve: 10/10 100% 	Sat Jan 09 2021 18:42:56 GMT-0600 (Central Standard Time)
correct 	1.7secs 	What is 12 * 6? 	== 	72 	RunAve=runAve: 11/11 100% 	Sat Jan 09 2021 18:43:16 GMT-0600 (Central Standard Time)
correct 	2.3secs 	What is 8 + 5? 	== 	13 	RunAve=runAve: 12/12 100% 	Sat Jan 09 2021 18:43:37 GMT-0600 (Central Standard Time)
correct 	1.7secs 	What is -8 * 1? 	== 	-8 	RunAve=runAve: 12/12 100% 	Sat Jan 09 2021 18:43:56 GMT-0600 (Central Standard Time)
correct 	2.5secs 	What is 4 * 6? 	== 	24 	RunAve=runAve: 11/11 100% 	Sat Jan 09 2021 18:44:17 GMT-0600 (Central Standard Time)
correct 	2.1secs 	What is 3 * -2? 	== 	-6 	RunAve=runAve: 10/10 100% 	Sat Jan 09 2021 18:44:37 GMT-0600 (Central Standard Time)
correct 	5.0secs 	What is 7 - 12? 	== 	-5 	RunAve=runAve: 9/9 100% 	Sat Jan 09 2021 18:45:00 GMT-0600 (Central Standard Time)
correct 	1.5secs 	What is 6 + 6? 	== 	12 	RunAve=runAve: 8/8 100% 	Sat Jan 09 2021 18:45:16 GMT-0600 (Central Standard Time)
correct 	5.7secs 	What is 36 / 6? 	== 	6 	RunAve=runAve: 7/7 100% 	Sat Jan 09 2021 18:45:40 GMT-0600 (Central Standard Time)
correct 	3.0secs 	What is 1 * 10? 	== 	10 	RunAve=runAve: 6/6 100% 	Sat Jan 09 2021 18:45:58 GMT-0600 (Central Standard Time)
correct 	1.7secs 	What is -8 * 3? 	== 	-24 	RunAve=runAve: 5/5 100% 	Sat Jan 09 2021 18:46:16 GMT-0600 (Central Standard Time)
correct 	3.6secs 	What is 11 * 12? 	== 	132 	RunAve=runAve: 4/4 100% 	Sat Jan 09 2021 18:46:38 GMT-0600 (Central Standard Time)
correct 	3.7secs 	What is -5 * 0? 	== 	0 	RunAve=runAve: 3/3 100% 	Sat Jan 09 2021 18:46:58 GMT-0600 (Central Standard Time)
correct 	1.6secs 	What is 7 * 10? 	== 	70 	RunAve=runAve: 2/2 100% 	Sat Jan 09 2021 18:47:16 GMT-0600 (Central Standard Time)
correct 	3.1secs 	What is 1 * 5? 	== 	5 	RunAve=runAve: 1/1 100% 	Sat Jan 09 2021 18:47:38 GMT-0600 (Central Standard Time)
correct 	2.0secs 	What is 11 * 2? 	== 	22 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 18:47:57 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 1 + 9? 	== 	10 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 18:48:17 GMT-0600 (Central Standard Time)
correct 	2.1secs 	What is 11 * 8? 	== 	88 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 18:48:37 GMT-0600 (Central Standard Time)
correct 	2.1secs 	What is 1 + 3? 	== 	4 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 18:49:03 GMT-0600 (Central Standard Time)
correct 	1.7secs 	What is 9 * 9? 	== 	81 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 18:49:23 GMT-0600 (Central Standard Time)
correct 	4.6secs 	What is 4 * 1? 	== 	4 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 18:49:46 GMT-0600 (Central Standard Time)
correct 	3.7secs 	What is 3 - 10? 	== 	-7 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 18:50:05 GMT-0600 (Central Standard Time)
correct 	2.6secs 	What is 7 * -1? 	== 	-7 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 18:50:24 GMT-0600 (Central Standard Time)
correct 	1.4secs 	What is 11 * 4? 	== 	44 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 18:50:43 GMT-0600 (Central Standard Time)
correct 	2.0secs 	What is 10 * 3? 	== 	30 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 18:51:03 GMT-0600 (Central Standard Time)
correct 	1.6secs 	What is 35 / 5? 	== 	7 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 18:51:23 GMT-0600 (Central Standard Time)
wrong 	1.6secs 	What is 1 + 4? 	!= 	4 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 18:51:43 GMT-0600 (Central Standard Time)
wrong 	0.3secs 	What is 1 + 2? 	!= 	-1 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:52:02 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 1 + 3? 	== 	4 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:52:28 GMT-0600 (Central Standard Time)
correct 	2.0secs 	What is 1 + 4? 	== 	5 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:52:49 GMT-0600 (Central Standard Time)
correct 	2.2secs 	What is 1 + 0? 	== 	1 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:53:09 GMT-0600 (Central Standard Time)
correct 	2.2secs 	What is 1 + 1? 	== 	2 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:53:29 GMT-0600 (Central Standard Time)
correct 	1.5secs 	What is 1 + 2? 	== 	3 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:53:48 GMT-0600 (Central Standard Time)
correct 	4.3secs 	What is 2 + 11? 	== 	13 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:54:23 GMT-0600 (Central Standard Time)
correct 	2.2secs 	What is 9 * -4? 	== 	-36 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 18:54:41 GMT-0600 (Central Standard Time)
